time,kind,y,aaa bond rate*current account (%gdp) ,aaa bond rate*foreign currency reserve(m),"aaa bond rate*government - debt, gross (%gdp) ",aaa bond rate*policy interest rate(m),aaa bond rate*political  risk,ted spread rate*current account (%gdp) ,ted spread rate*foreign currency reserve(m),"ted spread rate*government - debt, gross (%gdp) ",ted spread rate*policy interest rate(m),ted spread rate*political  risk,us cpi inflation rate(m)*current account (%gdp) ,us cpi inflation rate(m)*foreign currency reserve(m),"us cpi inflation rate(m)*government - debt, gross (%gdp) ",us cpi inflation rate(m)*policy interest rate(m),us cpi inflation rate(m)*political  risk,us foreign gross purchases of us domestic securities curn - ec. aggregated*current account (%gdp) ,us foreign gross purchases of us domestic securities curn - ec. aggregated*foreign currency reserve(m),"us foreign gross purchases of us domestic securities curn - ec. aggregated*government - debt, gross (%gdp) ",us foreign gross purchases of us domestic securities curn - ec. aggregated*policy interest rate(m),us foreign gross purchases of us domestic securities curn - ec. aggregated*political  risk,us foreign gross purchases of foreign securities curn - ec. aggregated*current account (%gdp) ,us foreign gross purchases of foreign securities curn - ec. aggregated*foreign currency reserve(m),"us foreign gross purchases of foreign securities curn - ec. aggregated*government - debt, gross (%gdp) ",us foreign gross purchases of foreign securities curn - ec. aggregated*policy interest rate(m),us foreign gross purchases of foreign securities curn - ec. aggregated*political  risk,us investor sentiment*current account (%gdp) ,us investor sentiment*foreign currency reserve(m),"us investor sentiment*government - debt, gross (%gdp) ",us investor sentiment*policy interest rate(m),us investor sentiment*political  risk,us monetary base(m)*current account (%gdp) ,us monetary base(m)*foreign currency reserve(m),"us monetary base(m)*government - debt, gross (%gdp) ",us monetary base(m)*policy interest rate(m),us monetary base(m)*political  risk,vix*current account (%gdp) ,vix*foreign currency reserve(m),"vix*government - debt, gross (%gdp) ",vix*policy interest rate(m),vix*political  risk,carry*current account (%gdp) ,carry*foreign currency reserve(m),"carry*government - debt, gross (%gdp) ",carry*policy interest rate(m),carry*political  risk,current account (%gdp) ,foreign currency reserve(m),"government - debt, gross (%gdp) ",policy interest rate(m),political  risk,carry,Negative,Neutral,Positive,CPI,PPI,ICS,GDP,HourlyWages,CrudeOil,S&P500,Y
2015/9/1,AU,-0.017963708000000002,0.208036293,0.029927709,0.198859455,0.016280016,0.71292253,0.208036293,0.029927709,0.198859455,0.016280016,0.71292253,0.208036293,0.029927709,0.198859455,0.016280016,0.71292253,0.208036293,0.029927709,0.198859455,0.016280016,0.71292253,0.208036293,0.029927709,0.198859455,0.016280016,0.71292253,0.208036293,0.029927709,0.198859455,0.016280016,0.71292253,0.208036293,0.029927709,0.198859455,0.016280016,0.71292253,0.208036293,0.029927709,0.198859455,0.016280016,0.71292253,0.208036293,0.029927709,0.198859455,0.016280016,0.71292253,0.208036293,0.029927709,0.198859455,0.016280016,0.71292253,0.013133229,0.026590909,0.9002272729999999,0.073272727,-0.002247588,-0.014590933,-0.051142546,0.0,0.00142315,0.11924636300000001,-0.053385587000000005,0
2015/10/1,AU,0.021651295,0.208036293,0.031907512,0.198859455,0.01629859,0.71292253,0.208036293,0.031907512,0.198859455,0.01629859,0.71292253,-0.208036293,-0.031907512,-0.198859455,-0.01629859,-0.71292253,0.208036293,0.031907512,0.198859455,0.01629859,0.71292253,0.208036293,0.031907512,0.198859455,0.01629859,0.71292253,0.208036293,0.031907512,0.198859455,0.01629859,0.71292253,0.208036293,0.031907512,0.198859455,0.01629859,0.71292253,0.208036293,0.031907512,0.198859455,0.01629859,0.71292253,-0.208036293,-0.031907512,-0.198859455,-0.01629859,-0.71292253,0.208036293,0.031907512,0.198859455,0.01629859,0.71292253,-0.02268215,0.024285714,0.907809524,0.068,0.000989482,-0.008461132,0.032110092,0.001710213,0.003789673,-0.021308332000000003,0.050321650999999995,1
2015/11/1,AU,0.014326738,0.325557809,0.025620687000000003,0.198859455,0.016172071,0.71292253,0.325557809,0.025620687000000003,0.198859455,0.016172071,0.71292253,0.325557809,0.025620687000000003,0.198859455,0.016172071,0.71292253,0.325557809,0.025620687000000003,0.198859455,0.016172071,0.71292253,0.325557809,0.025620687000000003,0.198859455,0.016172071,0.71292253,0.325557809,0.025620687000000003,0.198859455,0.016172071,0.71292253,0.325557809,0.025620687000000003,0.198859455,0.016172071,0.71292253,0.325557809,0.025620687000000003,0.198859455,0.016172071,0.71292253,0.325557809,0.025620687000000003,0.198859455,0.016172071,0.71292253,0.325557809,0.025620687000000003,0.198859455,0.016172071,0.71292253,0.03569772,0.024285714,0.907809524,0.068,0.001194617,-0.0096,0.014444443999999999,0.0,0.000471921,-0.092532114,-0.017777002,1
2015/12/1,AU,0.008411637,0.325557809,0.029869798,0.2069761,0.016194332,0.71292253,0.325557809,0.029869798,0.2069761,0.016194332,0.71292253,0.325557809,0.029869798,0.2069761,0.016194332,0.71292253,0.325557809,0.029869798,0.2069761,0.016194332,0.71292253,0.325557809,0.029869798,0.2069761,0.016194332,0.71292253,0.325557809,0.029869798,0.2069761,0.016194332,0.71292253,0.325557809,0.029869798,0.2069761,0.016194332,0.71292253,0.325557809,0.029869798,0.2069761,0.016194332,0.71292253,-0.325557809,-0.029869798,-0.2069761,-0.016194332,-0.71292253,0.325557809,0.029869798,0.2069761,0.016194332,0.71292253,-0.025186824,0.017727273,0.903727273,0.078545455,-0.001075553,-0.011847065,0.014238773,0.0,0.0018867920000000002,-0.147072937,0.009682556,1
2016/1/1,AU,-0.026618496000000002,0.325557809,0.031667767,0.2069761,0.01619171,0.71292253,0.325557809,0.031667767,0.2069761,0.01619171,0.71292253,0.325557809,0.031667767,0.2069761,0.01619171,0.71292253,0.325557809,0.031667767,0.2069761,0.01619171,0.71292253,0.325557809,0.031667767,0.2069761,0.01619171,0.71292253,0.325557809,0.031667767,0.2069761,0.01619171,0.71292253,0.325557809,0.031667767,0.2069761,0.01619171,0.71292253,0.325557809,0.031667767,0.2069761,0.01619171,0.71292253,-0.325557809,-0.031667767,-0.2069761,-0.01619171,-0.71292253,0.325557809,0.031667767,0.2069761,0.01619171,0.71292253,-0.007199252,0.0106,0.90295,0.0864,0.00027759,-0.004904632,-0.006479482,0.004970563,0.003295669,-0.090857947,-0.091709451,0
2016/2/1,AU,0.011092264,0.226666667,0.025803048999999998,0.2069761,0.01629859,0.71292253,0.226666667,0.025803048999999998,0.2069761,0.01629859,0.71292253,0.226666667,0.025803048999999998,0.2069761,0.01629859,0.71292253,0.226666667,0.025803048999999998,0.2069761,0.01629859,0.71292253,0.226666667,0.025803048999999998,0.2069761,0.01629859,0.71292253,0.226666667,0.025803048999999998,0.2069761,0.01629859,0.71292253,0.226666667,0.025803048999999998,0.2069761,0.01629859,0.71292253,0.226666667,0.025803048999999998,0.2069761,0.01629859,0.71292253,0.226666667,0.025803048999999998,0.2069761,0.01629859,0.71292253,0.226666667,0.025803048999999998,0.2069761,0.01629859,0.71292253,0.00636197,0.0106,0.90295,0.0864,-0.0013160829999999998,-0.007119387,-0.00326087,0.0,0.00140779,-0.10117574300000001,0.006707563000000001,1
2016/3/1,AU,0.0726563,0.226666667,0.025472597000000003,0.209656573,0.016194332,0.71292253,0.226666667,0.025472597000000003,0.209656573,0.016194332,0.71292253,0.226666667,0.025472597000000003,0.209656573,0.016194332,0.71292253,0.226666667,0.025472597000000003,0.209656573,0.016194332,0.71292253,0.226666667,0.025472597000000003,0.209656573,0.016194332,0.71292253,0.226666667,0.025472597000000003,0.209656573,0.016194332,0.71292253,0.226666667,0.025472597000000003,0.209656573,0.016194332,0.71292253,0.226666667,0.025472597000000003,0.209656573,0.016194332,0.71292253,-0.226666667,-0.025472597000000003,-0.209656573,-0.016194332,-0.71292253,0.226666667,0.025472597000000003,0.209656573,0.016194332,0.71292253,-0.018266113,0.0195,0.902772727,0.077727273,0.0020040920000000003,0.004412576,-0.007633588,0.0,0.002811621,0.322891566,0.069445773,1
2016/4/1,AU,-0.009360324,0.226666667,0.031530796,0.209656573,0.01602179,0.71292253,0.226666667,0.031530796,0.209656573,0.01602179,0.71292253,0.226666667,0.031530796,0.209656573,0.01602179,0.71292253,0.226666667,0.031530796,0.209656573,0.01602179,0.71292253,0.226666667,0.031530796,0.209656573,0.01602179,0.71292253,0.226666667,0.031530796,0.209656573,0.01602179,0.71292253,0.226666667,0.031530796,0.209656573,0.01602179,0.71292253,0.226666667,0.031530796,0.209656573,0.01602179,0.71292253,-0.226666667,-0.031530796,-0.209656573,-0.01602179,-0.71292253,0.226666667,0.031530796,0.209656573,0.01602179,0.71292253,-0.011624863000000001,0.013727273,0.892636364,0.093636364,0.0035505690000000004,0.006040637,-0.021978022000000003,0.010073061,0.002336449,0.178506375,0.03350891,0
2016/5/1,AU,-0.048609087,0.262620192,0.030706894,0.209656573,0.015988488000000002,0.71292253,0.262620192,0.030706894,0.209656573,0.015988488000000002,0.71292253,0.262620192,0.030706894,0.209656573,0.015988488000000002,0.71292253,0.262620192,0.030706894,0.209656573,0.015988488000000002,0.71292253,0.262620192,0.030706894,0.209656573,0.015988488000000002,0.71292253,0.262620192,0.030706894,0.209656573,0.015988488000000002,0.71292253,0.262620192,0.030706894,0.209656573,0.015988488000000002,0.71292253,0.262620192,0.030706894,0.209656573,0.015988488000000002,0.71292253,-0.262620192,-0.030706894,-0.209656573,-0.015988488000000002,-0.71292253,0.262620192,0.030706894,0.209656573,0.015988488000000002,0.71292253,-0.010146730999999999,0.013727273,0.892636364,0.093636364,0.00253313,0.011462881999999999,0.064044944,0.0,0.000932401,0.053654228,-0.013598068,0
2016/6/1,AU,0.026719147000000002,0.262620192,0.036879517,0.21538038,0.014078842,0.72,0.262620192,0.036879517,0.21538038,0.014078842,0.72,0.262620192,0.036879517,0.21538038,0.014078842,0.72,0.262620192,0.036879517,0.21538038,0.014078842,0.72,0.262620192,0.036879517,0.21538038,0.014078842,0.72,0.262620192,0.036879517,0.21538038,0.014078842,0.72,0.262620192,0.036879517,0.21538038,0.014078842,0.72,0.262620192,0.036879517,0.21538038,0.014078842,0.72,-0.262620192,-0.036879517,-0.21538038,-0.014078842,-0.72,0.262620192,0.036879517,0.21538038,0.014078842,0.72,-0.021638602000000003,0.019428571000000002,0.876761905,0.103761905,0.002940194,0.012412303999999999,-0.012671595,0.0,0.0027945970000000002,0.004191115,0.002341986,1
2016/7/1,AU,0.020668881,0.262620192,0.032493787999999996,0.21538038,0.013878975,0.72,0.262620192,0.032493787999999996,0.21538038,0.013878975,0.72,0.262620192,0.032493787999999996,0.21538038,0.013878975,0.72,0.262620192,0.032493787999999996,0.21538038,0.013878975,0.72,0.262620192,0.032493787999999996,0.21538038,0.013878975,0.72,0.262620192,0.032493787999999996,0.21538038,0.013878975,0.72,0.262620192,0.032493787999999996,0.21538038,0.013878975,0.72,0.262620192,0.032493787999999996,0.21538038,0.013878975,0.72,0.262620192,0.032493787999999996,0.21538038,0.013878975,0.72,0.262620192,0.032493787999999996,0.21538038,0.013878975,0.72,0.008745652,0.027173912999999997,0.881869565,0.09091304300000001,-0.000137418,0.0005330490000000001,-0.037433155,0.008852389,0.002322341,-0.12562604300000002,0.045899145,1
2016/8/1,AU,-0.008761054,0.18058796100000002,0.030377553999999998,0.21538038,0.013894403,0.72,0.18058796100000002,0.030377553999999998,0.21538038,0.013894403,0.72,0.18058796100000002,0.030377553999999998,0.21538038,0.013894403,0.72,0.18058796100000002,0.030377553999999998,0.21538038,0.013894403,0.72,0.18058796100000002,0.030377553999999998,0.21538038,0.013894403,0.72,0.18058796100000002,0.030377553999999998,0.21538038,0.013894403,0.72,0.18058796100000002,0.030377553999999998,0.21538038,0.013894403,0.72,0.18058796100000002,0.030377553999999998,0.21538038,0.013894403,0.72,-0.18058796100000002,-0.030377553999999998,-0.21538038,-0.013894403,-0.72,0.18058796100000002,0.030377553999999998,0.21538038,0.013894403,0.72,-0.000285648,0.027173912999999997,0.881869565,0.09091304300000001,0.002015734,-0.005860415999999999,-0.0022222220000000003,0.0,0.0013901760000000001,0.091169451,0.010878815,0
2016/9/1,AU,0.019628945,0.18058796100000002,0.028965732,0.214285714,0.012010568999999999,0.72,0.18058796100000002,0.028965732,0.214285714,0.012010568999999999,0.72,0.18058796100000002,0.028965732,0.214285714,0.012010568999999999,0.72,0.18058796100000002,0.028965732,0.214285714,0.012010568999999999,0.72,0.18058796100000002,0.028965732,0.214285714,0.012010568999999999,0.72,0.18058796100000002,0.028965732,0.214285714,0.012010568999999999,0.72,0.18058796100000002,0.028965732,0.214285714,0.012010568999999999,0.72,0.18058796100000002,0.028965732,0.214285714,0.012010568999999999,0.72,-0.18058796100000002,-0.028965732,-0.214285714,-0.012010568999999999,-0.72,0.18058796100000002,0.028965732,0.214285714,0.012010568999999999,0.72,-0.006782781,0.025304347999999997,0.891434783,0.083217391,0.0019659589999999998,0.001607717,0.015590200000000002,0.0,0.001388246,-0.008530184,-0.012341523,1
2016/10/1,AU,-0.00790518,0.18058796100000002,0.033241906,0.214285714,0.012052065,0.72,0.18058796100000002,0.033241906,0.214285714,0.012052065,0.72,0.18058796100000002,0.033241906,0.214285714,0.012052065,0.72,0.18058796100000002,0.033241906,0.214285714,0.012052065,0.72,0.18058796100000002,0.033241906,0.214285714,0.012052065,0.72,0.18058796100000002,0.033241906,0.214285714,0.012052065,0.72,0.18058796100000002,0.033241906,0.214285714,0.012052065,0.72,0.18058796100000002,0.033241906,0.214285714,0.012052065,0.72,-0.18058796100000002,-0.033241906,-0.214285714,-0.012052065,-0.72,0.18058796100000002,0.033241906,0.214285714,0.012052065,0.72,-0.0015226789999999999,0.025304347999999997,0.891434783,0.083217391,0.002376923,-0.001070091,-0.043859649,0.01122241,0.002772643,0.11074343699999999,-0.01393364,0
2016/11/1,AU,-0.029494915,0.25824652800000003,0.030273466000000002,0.214285714,0.012121212,0.72,0.25824652800000003,0.030273466000000002,0.214285714,0.012121212,0.72,0.25824652800000003,0.030273466000000002,0.214285714,0.012121212,0.72,0.25824652800000003,0.030273466000000002,0.214285714,0.012121212,0.72,0.25824652800000003,0.030273466000000002,0.214285714,0.012121212,0.72,0.25824652800000003,0.030273466000000002,0.214285714,0.012121212,0.72,0.25824652800000003,0.030273466000000002,0.214285714,0.012121212,0.72,0.25824652800000003,0.030273466000000002,0.214285714,0.012121212,0.72,0.25824652800000003,0.030273466000000002,0.214285714,0.012121212,0.72,0.25824652800000003,0.030273466000000002,0.214285714,0.012121212,0.72,0.01562354,0.024869565,0.899,0.076130435,0.001456706,-0.002142475,0.075688073,0.0,0.0009216589999999999,-0.099900695,-0.016427739,0
2016/12/1,AU,-0.021864977999999997,0.25824652800000003,0.032680221,0.21756640600000002,0.012095798999999999,0.72,0.25824652800000003,0.032680221,0.21756640600000002,0.012095798999999999,0.72,0.25824652800000003,0.032680221,0.21756640600000002,0.012095798999999999,0.72,0.25824652800000003,0.032680221,0.21756640600000002,0.012095798999999999,0.72,0.25824652800000003,0.032680221,0.21756640600000002,0.012095798999999999,0.72,0.25824652800000003,0.032680221,0.21756640600000002,0.012095798999999999,0.72,0.25824652800000003,0.032680221,0.21756640600000002,0.012095798999999999,0.72,0.25824652800000003,0.032680221,0.21756640600000002,0.012095798999999999,0.72,-0.25824652800000003,-0.032680221,-0.21756640600000002,-0.012095798999999999,-0.72,0.25824652800000003,0.032680221,0.21756640600000002,0.012095798999999999,0.72,-0.002028579,0.027333332999999998,0.8991904759999999,0.07347619,0.00297116,0.010198604,0.046908316,0.0,0.001841621,0.125551633,0.074044106,0
2017/1/1,AU,0.047352465999999996,0.25824652800000003,0.040118206000000003,0.21756640600000002,0.012134941000000002,0.72,0.25824652800000003,0.040118206000000003,0.21756640600000002,0.012134941000000002,0.72,0.25824652800000003,0.040118206000000003,0.21756640600000002,0.012134941000000002,0.72,0.25824652800000003,0.040118206000000003,0.21756640600000002,0.012134941000000002,0.72,0.25824652800000003,0.040118206000000003,0.21756640600000002,0.012134941000000002,0.72,0.25824652800000003,0.040118206000000003,0.21756640600000002,0.012134941000000002,0.72,0.25824652800000003,0.040118206000000003,0.21756640600000002,0.012134941000000002,0.72,0.25824652800000003,0.040118206000000003,0.21756640600000002,0.012134941000000002,0.72,-0.25824652800000003,-0.040118206000000003,-0.21756640600000002,-0.012134941000000002,-0.72,0.25824652800000003,0.040118206000000003,0.21756640600000002,0.012134941000000002,0.72,-0.016308941,0.027333332999999998,0.8991904759999999,0.07347619,0.00414071,0.013283741000000002,0.00305499,0.010763386000000002,0.002297794,0.026465399,0.009479454,1
